"bird_tag","feeding_freq","BIRD_ID","cort_orig","cort_ind","barl_orig","barl_ind","sex","age","fdens_orig","fdens_ind"
"0700EDD8C8",6.65853658536585,"12126374",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDD9AE",1.625,"14157313",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDDA6A",31.2142857142857,"59V39752",NA,NA,16.4177535,NA,"f","1Y",NA,NA
"0700EDDA92",3.83333333333333,"59V39132",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDDA94",6,"57V84709",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDDAD0",19.8333333333333,"59V39121",NA,0.01244644945669,14.03332754,11.85347689,"m","AD",0.000119547257713347,0.00011907145993623
"0700EDDB3B",19.75,"59V39201",NA,NA,13.3905117,NA,"m","AD",NA,NA
"0700EDDB61",1,"14157513",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDDC8F",13.2352941176471,"59V39843",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDDCEA",15.4761904761905,"12126105",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDDD0E",NA,"59V39131",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDDDD0",5.96774193548387,"14157771",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDDDFC",11.8245614035088,"14157543",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDDEBC",NA,"57V84697",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDDFD1",33.1090909090909,"59V39769",0.012197324189308,0,13.280904535,11.14478182,"f","1Y",0.0001159019683498,0.000107488757893669
"0700EDE001",NA,"14157314",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDE0BE",17.3076923076923,"59V39777",NA,NA,16.16246256,NA,"f","1Y",NA,NA
"0700EDE0F3",14.8,"59V39760",NA,NA,14.332632015,NA,"m","AD",NA,NA
"0700EDE1F1",16.6666666666667,"58V92589",NA,NA,10.086052705,NA,"m","AD",0.000123355476331435,NA
"0700EDE2C5",17.8571428571429,"59V39838",NA,NA,14.412856265,NA,"f","1Y",0.000106933710363784,NA
"0700EDE2FC",NA,"59V39864",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDE3D2",10.7272727272727,"14157743",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDE442",15.68,"59V39165",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDE476",15.6744186046512,"59V39527",0.003516259638471,0.083928767997865,14.53820094,11.352212805,"m","1Y",0.000117280822079842,0.000119967244945173
"0700EDE7B9",22.6666666666667,"59V39575",0,0.065813424246379,14.731405295,10.87955775,"m","1Y",0.000114467672801447,0.000115164750281102
"0700EDE854",13.8275862068966,"59V39780",NA,NA,12.814147695,NA,"m","AD",NA,NA
"0700EDE9A5",2.41666666666667,"14157547",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDEA86",2,"12126075",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDEB7A",5.7,"58V92649",NA,NA,12.373976125,NA,"m","AD",NA,NA
"0700EDEB8B",7.19354838709677,"12126368",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDEB8D",13.1785714285714,"14157769",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDEBED",7.21428571428571,"12126364",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDEC75",19.7142857142857,"12126135",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDEC89",NA,"59V39138",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDED0E",27.3469387755102,"59V39766",NA,NA,13.501724105,11.1869178,"f","1Y",0.000116845991673931,0.000109277125901411
"0700EDED2F",19.3921568627451,"59V39176",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDF101",10.7619047619048,"59V39869",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDF1D0",22.3529411764706,"59V39151",NA,NA,13.3097298,NA,"m","AD",0.000112946610054352,NA
"0700EDF1E7",15.6666666666667,"57V84695",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDF515",4.45454545454545,"58V92654",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDF585",10.4146341463415,"12126108",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDF5EB",13,"59V39872",NA,NA,14.53998199,NA,"f","1Y",NA,NA
"0700EDF632",14.0576923076923,"59V39115",2.65224579676303,0.008539239221185,13.9164345,13.942128375,"m","AD",0.000127190398019614,0.000122499229846035
"0700EDF71F",NA,"59V39403",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDF7CF",23.3225806451613,"59V39143",0.063836844293042,0.240682765362978,14.40871687,12.30771578,"f","AD",0.000113529892315171,0.000117595241833102
"0700EDF954",38.3859649122807,"59V39845",NA,NA,14.763591485,11.250804225,"m","1Y",0.000108824431145909,0.000110243102680819
"0700EDF99F",9.22727272727273,"59V39851",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDFA0F",NA,"59V39835",0.008421149331968,0.005774230131037,15.06670512,12.60476375,"m","1Y",0.000122444973172444,0.000133328858198515
"0700EDFA1D",14.0227272727273,"58V92659",NA,NA,11.37435137,NA,"f","AD",NA,NA
"0700EDFA3D",20.0740740740741,"59V39947",0.152147270081611,0.135131583470114,16.525502135,13.44738307,"m","1Y",0.00012667763200963,0.00012924262654151
"0700EDFC13",18.0810810810811,"59V39782",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDFCAD",NA,"14157511",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDFCBD",6,"59V39204",0.004352173854704,0.54376562908816,15.723253815,11.81967369,"m","AD",0.000121045535730552,0.00012760325856603
"0700EDFCD3",7.75,"58V92657",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDFD02",NA,"59V39848",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDFDA6",NA,"14157505",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EDFEB4",9.79545454545454,"12126388",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE0020",NA,"14517262",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE008D",7.79310344827586,"59V39155",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE0188",23.8421052631579,"59V39586",NA,NA,14.99720201,11.33030333,"f","1Y",0.000114134749578584,9.92040636738321e-05
"0700EE01F9",12.5535714285714,"14157546",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE02A3",NA,"59V39173",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE02B3",NA,"14157523",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE0398",27.4736842105263,"59V39198",0.005354732034703,0.704249970487739,14.18870542,12.865683235,"m","AD",0.000126460394488197,0.000121511384337936
"0700EE03BB",18.6271186440678,"12126389",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE045B",17.9428571428571,"12126380",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE0558",17.4736842105263,"14157322",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE070C",NA,"14157542",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE07AB",27.575,"59V39484",NA,NA,13.61975827,NA,"m","1Y",NA,NA
"0700EE07BA",10.3035714285714,"14157311",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE084E",7.48571428571429,"14157564",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE096A",12.063829787234,"14157538",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EE097A",NA,"14157541",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EE09D7",10.8867924528302,"59V39596",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE0A49",8.33333333333333,"12126386",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE0AF9",21.2586206896552,"14157319",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE0B90",20.75,"14157315",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE0BCC",20.1071428571429,"59V39758",0.002320938614842,0.024643050019054,14.013033325,10.3945329745,"f","1Y",0.000108650104588394,8.23514235254401e-05
"0700EE0BEF",26.8611111111111,"59V39865",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE0CBA",14,"59V39836",NA,NA,11.501595975,NA,"f","1Y",0.000101870639336144,NA
"0700EE0DDB",NA,"12126392",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE0FED",22.0566037735849,"59V39483",NA,NA,15.482871875,12.09853203,"m","1Y",0.000117791613667003,0.000111379797763418
"0700EE100F",2,"14157533",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE103B",2,"59V39855",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1046",1.8,"12126165",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE11ED",14.1521739130435,"59V39190",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE12BB",29.6724137931034,"12126400",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE14BE",18.4615384615385,"14517202",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE14FB",12.8125,"12126395",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE158A",9.25,"59V39834",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE166F",21.051724137931,"12126115",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE1827",32.7636363636364,"59V39283",0.048532852846091,0.006524094944701,13.49456026,10.848096205,"f","AD",0.00011040450734481,0.00010433362416612
"0700EE18A2",21.921568627451,"14157770",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE19C8",NA,"60V36751",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE19D1",6.97959183673469,"14157501",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE19E9",15,"59V39007",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1A93",8,"14157301",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE1AA6",NA,"14157537",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1B45",7.50980392156863,"13931409",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE1B4C",7.47826086956522,"14157308",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1BF0",15.7659574468085,"12126396",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1C66",15.3488372093023,"59V39102",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE1C6A",20.3454545454545,"59V39859",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE1D71",NA,"60V36762",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1E0A",19.7826086956522,"12126357",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE1E8D",8,"57V84727",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE1EF0",NA,"59V39687",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EE1EF3",32.54,"59V39841",NA,NA,12.51963338,NA,"f","1Y",0.000103545841098632,NA
"0700EE1F0F",NA,"59V39685",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EE1FC5",15.5428571428571,"59V39184",0,0.048076090487254,12.540700545,10.291458668,"f","AD",0.000127881051428543,0.000118163722189013
"0700EE2002",NA,"60V36760",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE2089",NA,"59V39182",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE209F",9.38888888888889,"59V39847",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE20CC",NA,"59V39133",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE21C3",8.76,"59V39762",NA,NA,14.57130333,NA,"f","1Y",NA,NA
"0700EE228D",17.9166666666667,"12126356",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE231D",11,"59V39104",NA,NA,13.942027685,NA,"f","AD",NA,NA
"0700EE23ED",3.07692307692308,"59V39130",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE2589",13.5909090909091,"12126107",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE268A",16.8793103448276,"14157318",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE26BC",27.8947368421053,"12126398",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE26C8",NA,"59V39162",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE2747",8.25,"59V39011",0.004104364150542,0.004178680409704,14.29361884,11.26926142,"f","AD",0.000119715704875451,0.000137300450854658
"0700EE27A5",5.65625,"14157571",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE27DF",11.5555555555556,"59V39768",NA,NA,14.17804193,NA,"f","1Y",NA,NA
"0700EE2802",NA,"14157534",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE286F",20.975,"59V39863",0.020818685624729,0.043751989433659,14.962270265,11.115123165,"m","1Y",0.000117062978142401,0.000115308377252236
"0700EE2905",5,"12126384",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE294F",17,"59V39858",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE2993",7.73333333333333,"59V92482",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE2A4A",24.5593220338983,"14157509",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EE2A5B",NA,"14157316",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE2B22",36.4909090909091,"12126377",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE2B25",1,"14157307",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE2B32",6.84905660377358,"14157325",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE2C08",NA,"59V39194",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE2C34",12.719298245614,"12126387",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE2CEB",NA,"12126414",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE302E",12.5714285714286,"59V39419",NA,NA,15.903390055,NA,"f","AD",NA,NA
"0700EE309F",9.45161290322581,"11024477",NA,NA,NA,NA,NA,"AD",NA,NA
"0700EE30E1",19.4210526315789,"59V39765",NA,NA,15.574441285,NA,"f","1Y",NA,NA
"0700EE3211",34.6727272727273,"12126393",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE3308",28.0350877192982,"59V39748",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE339A",NA,"58V92590",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE3535",21.7058823529412,"57V84698",NA,NA,10.76173456,NA,"m","AD",NA,NA
"0700EE3573",4.6,"12126371",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE35B0",14.9761904761905,"12126141",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE35ED",20.9272727272727,"59V39187",0.029526888043187,0.036097941123705,11.4063664465,10.7338424625,"m","AD",0.000126943890725253,0.000125877664587119
"0700EE361A",7.37254901960784,"12126361",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE37BD",10.3269230769231,"12126394",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE3840",19.3090909090909,"59V39118",NA,NA,14.709395265,NA,"m","AD",NA,NA
"0700EE385C",29.8372093023256,"59V39844",NA,NA,14.38801702,NA,"m","AD",0.000108838606602621,NA
"0700EE3872",4.85714285714286,"12126373",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE38A8",NA,"14157516",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE38E6",24.5,"59V39755",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE3A07",8.57407407407407,"12126148",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE3BC1",7.39285714285714,"59V39485",0.007915723807016,0.017680205947878,14.96357187,12.167265625,"m","AD",0.000114152513848538,0.000103946173052432
"0700EE3CE0",15.6379310344828,"14157767",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE3EBA",NA,"57V84700",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EE3EEE",1,"12126367",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EE4041",4.21428571428571,"12126125",NA,NA,NA,NA,"f","AD",NA,NA
"0700EE40CD",22,"59V39754",0.003481773411205,12.361052244173,14.752113705,11.50797746,"f","1Y",0.000113196485804736,0.000109164031598518
"0700EE40FF",24.8103448275862,"59V39202",NA,NA,15.31739589,NA,"f","AD",NA,NA
"0700EE4134",13.3255813953488,"14157506",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EE4234",9.09615384615385,"12126102",NA,NA,NA,NA,"f",NA,NA,NA
"0700EE42BE",NA,"14157507",NA,NA,NA,NA,"m","AD",NA,NA
"0700EE4366",6.28571428571429,"59V39779",NA,NA,15.30189772,NA,"m","1Y",NA,NA
"0700EE44D4",4.92307692307692,"14157549",NA,NA,NA,NA,"f","1Y",NA,NA
NA,NA,"59V39753",0.044386336043943,8.3381562310072,15.406823485,13.093187135,"m",NA,0.000124336384926253,0.000128275480397147
NA,NA,"59V39951",0.038165992525157,0.81102988523162,15.315971235,12.545167835,"m",NA,0.00012818889552842,0.000125980850457199
